usage_start_date,billing_account_id,project_id,project_name,environment,team,service_description,sku_description,resource_name,location,usage_amount,usage_unit,cost,credits,net_cost,labels
2026-01-02,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,Persistent Disk SSD,gce-web-02,asia-southeast1,408.74,hour,49.95,-5.0,44.96,env=production;team=retail-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Logging,Log Ingestion,logging-prod,asia-southeast1,347.61,GiB,19.31,0,19.31,env=shared;team=shared-services;owner=portfolio
2026-01-03,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,VM Instance Core,gce-dev-test,asia-southeast2,175.77,hour,38.57,-0.0,38.57,env=development;team=retail-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Run,vCPU,run-report-api,us-central1,135.55,hour,22.05,0,22.05,env=production;team=retail-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Logging,Log Ingestion,logging-dev,us-central1,39.67,GiB,8.2,0,8.2,env=analytics;team=data-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Analysis Slots,bq-marketing-mart,us-central1,434.44,GiB-month,107.32,-0.0,107.32,env=analytics;team=data-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,Persistent Disk SSD,gce-web-02,us-central1,610.09,hour,62.91,-3.15,59.76,env=analytics;team=data-platform;owner=portfolio
2026-01-03,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Logging,Log Ingestion,logging-dev,us-central1,11.41,GiB,3.18,0,3.18,env=analytics;team=data-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Cloud Logging,Log Ingestion,logging-shared,asia-southeast1,210.11,GiB,10.75,0,10.75,env=development;team=retail-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Cloud Run,vCPU,run-order-api,us-central1,12.4,hour,3.12,0,3.12,env=development;team=retail-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud SQL,PostgreSQL CPU,sql-reporting,asia-southeast1,391.86,hour,114.16,0,114.16,env=production;team=retail-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Analysis Slots,bq-raw-events,asia-southeast2,341.98,GiB-month,97.15,-0.0,97.15,env=production;team=retail-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,VM Instance Core,gce-legacy-reporting,asia-southeast1,536.96,hour,87.81,-0.0,87.81,env=shared;team=shared-services;owner=portfolio
2026-01-04,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-backup-prod,asia-southeast2,129.77,GiB-month,44.23,0,44.23,env=production;team=retail-platform;owner=portfolio
2026-01-04,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-web-01,us-central1,897.31,hour,106.75,-0.0,106.75,env=analytics;team=data-platform;owner=portfolio
2026-01-05,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Storage,bq-marketing-mart,us-central1,581.27,GiB-month,114.63,-5.73,108.9,env=production;team=retail-platform;owner=portfolio
2026-01-05,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud SQL,PostgreSQL CPU,sql-user-dev,us-central1,1009.25,hour,94.82,0,94.82,env=shared;team=shared-services;owner=portfolio
2026-01-05,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Run,vCPU,run-report-api,us-central1,107.3,hour,18.99,0,18.99,env=analytics;team=data-platform;owner=portfolio
2026-01-05,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Cloud Logging,Log Ingestion,logging-shared,us-central1,166.97,GiB,45.56,0,45.56,env=development;team=retail-platform;owner=portfolio
2026-01-05,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Storage,bq-analytics-dwh,asia-southeast1,200.42,GiB-month,52.65,-0.0,52.65,env=analytics;team=data-platform;owner=portfolio
2026-01-05,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Run,vCPU,run-order-api,us-central1,248.45,hour,26.79,0,26.79,env=shared;team=shared-services;owner=portfolio
2026-01-05,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,VM Instance Core,gce-dev-test,asia-southeast1,182.04,hour,60.89,-3.04,57.85,env=shared;team=shared-services;owner=portfolio
2026-01-05,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Logging,Log Ingestion,logging-prod,us-central1,212.41,GiB,42.82,0,42.82,env=shared;team=shared-services;owner=portfolio
2026-01-06,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Logging,Log Ingestion,logging-prod,asia-southeast2,68.31,GiB,10.84,0,10.84,env=analytics;team=data-platform;owner=portfolio
2026-01-06,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,us-central1,604.8,hour,184.82,-0.0,184.82,env=development;team=retail-platform;owner=portfolio
2026-01-06,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Logging,Log Ingestion,logging-prod,us-central1,115.74,GiB,30.99,0,30.99,env=shared;team=shared-services;owner=portfolio
2026-01-06,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Cloud Logging,Log Ingestion,logging-prod,asia-southeast2,135.27,GiB,40.66,0,40.66,env=development;team=retail-platform;owner=portfolio
2026-01-06,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Run,vCPU,run-report-api,asia-southeast2,94.76,hour,14.93,0,14.93,env=production;team=retail-platform;owner=portfolio
2026-01-06,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud SQL,PostgreSQL CPU,sql-user-dev,us-central1,2441.97,hour,112.35,0,112.35,env=shared;team=shared-services;owner=portfolio
2026-01-07,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Storage,bq-raw-events,asia-southeast1,1013.74,GiB-month,115.51,-0.0,115.51,env=analytics;team=data-platform;owner=portfolio
2026-01-07,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Storage,bq-marketing-mart,asia-southeast2,281.73,GiB-month,95.52,-0.0,95.52,env=production;team=retail-platform;owner=portfolio
2026-01-07,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-archive-temp,asia-southeast2,86.43,GiB-month,20.26,0,20.26,env=production;team=retail-platform;owner=portfolio
2026-01-07,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,Persistent Disk SSD,gce-dev-test,asia-southeast2,445.23,hour,131.31,-13.13,118.18,env=analytics;team=data-platform;owner=portfolio
2026-01-07,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud SQL,PostgreSQL CPU,sql-reporting,asia-southeast1,307.82,hour,100.07,0,100.07,env=shared;team=shared-services;owner=portfolio
2026-01-08,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Storage,Standard Storage,gcs-backup-prod,asia-southeast1,32.95,GiB-month,7.55,0,7.55,env=shared;team=shared-services;owner=portfolio
2026-01-08,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-legacy-reporting,us-central1,1594.01,hour,338.4,-16.92,321.48,env=analytics;team=data-platform;owner=portfolio
2026-01-08,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,Persistent Disk SSD,gce-web-02,asia-southeast2,1787.31,hour,123.05,-0.0,123.05,env=development;team=retail-platform;owner=portfolio
2026-01-08,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Storage,bq-marketing-mart,asia-southeast1,208.42,GiB-month,53.75,-2.69,51.06,env=shared;team=shared-services;owner=portfolio
2026-01-08,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast1,83.13,GiB-month,8.9,0,8.9,env=analytics;team=data-platform;owner=portfolio
2026-01-08,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast2,347.37,GiB-month,18.8,0,18.8,env=analytics;team=data-platform;owner=portfolio
2026-01-08,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Analysis Slots,bq-raw-events,asia-southeast1,196.11,GiB-month,66.54,-0.0,66.54,env=analytics;team=data-platform;owner=portfolio
2026-01-08,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-web-01,asia-southeast2,1218.16,hour,80.89,-4.04,76.85,env=shared;team=shared-services;owner=portfolio
2026-01-09,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Storage,bq-raw-events,us-central1,482.1,GiB-month,110.39,-0.0,110.39,env=shared;team=shared-services;owner=portfolio
2026-01-09,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Storage,bq-raw-events,asia-southeast1,332.45,GiB-month,84.34,-8.43,75.91,env=production;team=retail-platform;owner=portfolio
2026-01-09,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-web-02,us-central1,384.36,hour,66.03,-0.0,66.03,env=analytics;team=data-platform;owner=portfolio
2026-01-09,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Analysis Slots,bq-marketing-mart,asia-southeast1,127.73,GiB-month,22.5,-1.12,21.37,env=development;team=retail-platform;owner=portfolio
2026-01-09,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Run,vCPU,run-payment-api,asia-southeast2,119.86,hour,14.1,0,14.1,env=analytics;team=data-platform;owner=portfolio
2026-01-10,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-archive-temp,us-central1,105.17,GiB-month,23.29,0,23.29,env=production;team=retail-platform;owner=portfolio
2026-01-10,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,us-central1,474.31,hour,138.6,-13.86,124.74,env=shared;team=shared-services;owner=portfolio
2026-01-10,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Logging,Log Ingestion,logging-prod,us-central1,222.99,GiB,54.38,0,54.38,env=production;team=retail-platform;owner=portfolio
2026-01-10,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Run,vCPU,run-order-api,asia-southeast1,110.72,hour,23.28,0,23.28,env=shared;team=shared-services;owner=portfolio
2026-01-10,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Logging,Log Ingestion,logging-prod,asia-southeast2,22.29,GiB,3.71,0,3.71,env=shared;team=shared-services;owner=portfolio
2026-01-10,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Logging,Log Ingestion,logging-prod,asia-southeast1,129.79,GiB,24.61,0,24.61,env=production;team=retail-platform;owner=portfolio
2026-01-11,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Analysis Slots,bq-marketing-mart,us-central1,536.14,GiB-month,77.93,-7.79,70.14,env=shared;team=shared-services;owner=portfolio
2026-01-11,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-batch-large,us-central1,1249.36,hour,263.73,-13.19,250.55,env=analytics;team=data-platform;owner=portfolio
2026-01-11,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Logging,Log Ingestion,logging-dev,asia-southeast1,175.72,GiB,24.36,0,24.36,env=shared;team=shared-services;owner=portfolio
2026-01-11,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Run,vCPU,run-report-api,asia-southeast2,38.73,hour,5.53,0,5.53,env=shared;team=shared-services;owner=portfolio
2026-01-11,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-dev-test,us-central1,1022.24,hour,148.18,-7.41,140.77,env=shared;team=shared-services;owner=portfolio
2026-01-11,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-batch-large,asia-southeast2,1599.37,hour,370.11,-0.0,370.11,env=shared;team=shared-services;owner=portfolio
2026-01-12,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Storage,bq-raw-events,asia-southeast2,367.82,GiB-month,117.73,-5.89,111.84,env=analytics;team=data-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-batch-large,asia-southeast2,560.58,hour,130.12,-13.01,117.11,env=analytics;team=data-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,BigQuery,Analysis Slots,bq-analytics-dwh,asia-southeast1,1577.28,GiB-month,99.21,-0.0,99.21,env=shared;team=shared-services;owner=portfolio
2026-01-12,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Run,vCPU,run-report-api,us-central1,71.47,hour,15.53,0,15.53,env=analytics;team=data-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Storage,Standard Storage,gcs-raw-data,us-central1,276.32,GiB-month,15.25,0,15.25,env=analytics;team=data-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast2,123.19,GiB-month,30.1,0,30.1,env=shared;team=shared-services;owner=portfolio
2026-01-12,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,VM Instance Core,gce-batch-large,us-central1,3328.38,hour,269.5,-0.0,269.5,env=production;team=retail-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast2,313.8,GiB-month,23.76,0,23.76,env=analytics;team=data-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Storage,bq-raw-events,asia-southeast2,966.49,GiB-month,117.89,-0.0,117.89,env=development;team=retail-platform;owner=portfolio
2026-01-12,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud SQL,PostgreSQL CPU,sql-reporting,us-central1,838.1,hour,194.49,0,194.49,env=shared;team=shared-services;owner=portfolio
2026-01-13,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,us-central1,2809.38,hour,316.86,-0.0,316.86,env=development;team=retail-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Cloud Run,vCPU,run-payment-api,us-central1,58.65,hour,18.45,0,18.45,env=development;team=retail-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Logging,Log Ingestion,logging-shared,asia-southeast2,171.79,GiB,52.43,0,52.43,env=production;team=retail-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud SQL,PostgreSQL CPU,sql-orders-prod,us-central1,477.31,hour,114.04,0,114.04,env=analytics;team=data-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,VM Instance Core,gce-batch-large,asia-southeast2,755.1,hour,107.11,-0.0,107.11,env=production;team=retail-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast2,243.22,GiB-month,36.74,0,36.74,env=production;team=retail-platform;owner=portfolio
2026-01-13,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,VM Instance Core,gce-web-02,asia-southeast2,316.56,hour,63.03,-3.15,59.88,env=analytics;team=data-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,VM Instance Core,gce-dev-test,asia-southeast1,353.23,hour,67.82,-0.0,67.82,env=development;team=retail-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Compute Engine,Persistent Disk SSD,gce-batch-large,us-central1,1674.33,hour,302.47,-15.12,287.35,env=production;team=retail-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,Persistent Disk SSD,gce-web-01,asia-southeast1,835.31,hour,140.57,-0.0,140.57,env=shared;team=shared-services;owner=portfolio
2026-01-14,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud Run,vCPU,run-report-api,asia-southeast2,103.17,hour,6.27,0,6.27,env=shared;team=shared-services;owner=portfolio
2026-01-14,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Run,vCPU,run-order-api,asia-southeast1,116.21,hour,28.79,0,28.79,env=production;team=retail-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Run,vCPU,run-report-api,asia-southeast2,85.54,hour,16.21,0,16.21,env=analytics;team=data-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud SQL,PostgreSQL CPU,sql-orders-prod,us-central1,494.08,hour,113.74,0,113.74,env=analytics;team=data-platform;owner=portfolio
2026-01-14,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Storage,Standard Storage,gcs-raw-data,asia-southeast1,77.33,GiB-month,16.67,0,16.67,env=production;team=retail-platform;owner=portfolio
2026-01-15,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,VM Instance Core,gce-web-01,asia-southeast2,403.03,hour,126.49,-0.0,126.49,env=development;team=retail-platform;owner=portfolio
2026-01-15,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,Compute Engine,VM Instance Core,gce-web-01,asia-southeast2,434.8,hour,63.92,-0.0,63.92,env=development;team=retail-platform;owner=portfolio
2026-01-15,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Logging,Log Ingestion,logging-shared,asia-southeast2,177.03,GiB,18.67,0,18.67,env=analytics;team=data-platform;owner=portfolio
2026-01-15,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud Storage,Standard Storage,gcs-backup-prod,us-central1,101.58,GiB-month,21.66,0,21.66,env=analytics;team=data-platform;owner=portfolio
2026-01-15,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,Persistent Disk SSD,gce-legacy-reporting,asia-southeast1,2453.14,hour,318.29,-31.83,286.47,env=analytics;team=data-platform;owner=portfolio
2026-01-16,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Analysis Slots,bq-raw-events,asia-southeast1,431.8,GiB-month,87.41,-8.74,78.67,env=analytics;team=data-platform;owner=portfolio
2026-01-16,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Cloud SQL,PostgreSQL CPU,sql-orders-prod,us-central1,249.3,hour,36.97,0,36.97,env=analytics;team=data-platform;owner=portfolio
2026-01-16,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Storage,bq-analytics-dwh,us-central1,486.61,GiB-month,89.45,-8.95,80.51,env=development;team=retail-platform;owner=portfolio
2026-01-16,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Cloud SQL,PostgreSQL CPU,sql-reporting,asia-southeast1,2836.76,hour,178.71,0,178.71,env=shared;team=shared-services;owner=portfolio
2026-01-16,000000-000000-000000,prj-shared-services,Prj Shared Services,Shared,Shared Services,Compute Engine,VM Instance Core,gce-web-01,us-central1,417.97,hour,76.67,-7.67,69.01,env=shared;team=shared-services;owner=portfolio
2026-01-17,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud Logging,Log Ingestion,logging-shared,asia-southeast1,26.3,GiB,8.38,0,8.38,env=production;team=retail-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,BigQuery,Analysis Slots,bq-analytics-dwh,us-central1,406.55,GiB-month,113.87,-11.39,102.48,env=production;team=retail-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud SQL,PostgreSQL CPU,sql-orders-prod,asia-southeast2,226.86,hour,51.46,0,51.46,env=production;team=retail-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,Compute Engine,Persistent Disk SSD,gce-dev-test,asia-southeast1,850.16,hour,115.6,-0.0,115.6,env=analytics;team=data-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Analysis Slots,bq-raw-events,asia-southeast1,2506.96,GiB-month,114.45,-5.72,108.72,env=analytics;team=data-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-retail-dev,Prj Retail Dev,Development,Retail Platform,BigQuery,Storage,bq-marketing-mart,us-central1,334.67,GiB-month,66.06,-0.0,66.06,env=development;team=retail-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-retail-prod,Prj Retail Prod,Production,Retail Platform,Cloud SQL,PostgreSQL CPU,sql-reporting,asia-southeast1,1096.33,hour,192.6,0,192.6,env=production;team=retail-platform;owner=portfolio
2026-01-17,000000-000000-000000,prj-data-analytics,Prj Data Analytics,Analytics,Data Platform,BigQuery,Storage,bq-marketing-mart,asia-southeast2,293.54,GiB-month,94.0,-9.4,84.6,env=analytics;team=data-platform;owner=portfolio
